[33mWARN: gym.spaces.Box autodetected dtype as <class 'numpy.uint8'>. Please provide explicit dtype.[0m
[33mWARN: gym.spaces.Box autodetected dtype as <class 'numpy.uint8'>. Please provide explicit dtype.[0m
[33mWARN: <class 'atari_wrapper.FrameStack'> doesn't implement 'reset' method, but it implements deprecated '_reset' method.[0m
23 frames: done 1 games, mean reward 0.0, epsilon 1.0, speed 542.54 frames/s
6276 frames: done 188 games, mean reward 0.367, epsilon 0.93, speed 100.86 frames/s
6345 frames: done 189 games, mean reward 0.4, epsilon 0.93, speed 102.51 frames/s
6368 frames: done 190 games, mean reward 0.4, epsilon 0.93, speed 94.24 frames/s
6437 frames: done 191 games, mean reward 0.433, epsilon 0.92, speed 103.78 frames/s
6460 frames: done 192 games, mean reward 0.433, epsilon 0.92, speed 103.23 frames/s
6533 frames: done 193 games, mean reward 0.467, epsilon 0.92, speed 102.91 frames/s
6556 frames: done 194 games, mean reward 0.467, epsilon 0.92, speed 103.02 frames/s
6579 frames: done 195 games, mean reward 0.433, epsilon 0.92, speed 96.24 frames/s
6630 frames: done 196 games, mean reward 0.467, epsilon 0.92, speed 102.29 frames/s
6702 frames: done 197 games, mean reward 0.5, epsilon 0.92, speed 103.89 frames/s
6725 frames: done 198 games, mean reward 0.433, epsilon 0.92, speed 104.06 frames/s
6792 frames: done 199 games, mean reward 0.467, epsilon 0.92, speed 102.65 frames/s
6815 frames: done 200 games, mean reward 0.467, epsilon 0.92, speed 94.24 frames/s
loss at episode200is
0.015805667266249657
loss at episode200is
0.07596699893474579
loss at episode200is
0.044068593531847
loss at episode200is
0.23360414803028107
loss at episode200is
0.059329330921173096
loss at episode200is
0.15433833003044128
loss at episode200is
0.0822078287601471
loss at episode200is
0.10146990418434143
loss at episode200is
0.13569974899291992
loss at episode200is
0.07499668747186661
loss at episode200is
0.03568512946367264
loss at episode200is
0.045098066329956055
loss at episode200is
0.004514314699918032
loss at episode200is
0.03235776349902153
loss at episode200is
0.311026930809021
loss at episode200is
0.1584029644727707
loss at episode200is
0.01762096956372261
loss at episode200is
0.272691935300827
loss at episode200is
0.1364797204732895
loss at episode200is
0.011107097379863262
loss at episode200is
0.10945519804954529
loss at episode200is
0.15605385601520538
loss at episode200is
0.07776450365781784
6838 frames: done 201 games, mean reward 0.467, epsilon 0.92, speed 89.56 frames/s
6861 frames: done 202 games, mean reward 0.467, epsilon 0.92, speed 95.2 frames/s
6930 frames: done 203 games, mean reward 0.5, epsilon 0.92, speed 101.76 frames/s
6953 frames: done 204 games, mean reward 0.5, epsilon 0.92, speed 99.58 frames/s
6976 frames: done 205 games, mean reward 0.433, epsilon 0.92, speed 93.16 frames/s
6999 frames: done 206 games, mean reward 0.367, epsilon 0.92, speed 103.09 frames/s
7022 frames: done 207 games, mean reward 0.333, epsilon 0.92, speed 100.34 frames/s
7093 frames: done 208 games, mean reward 0.367, epsilon 0.92, speed 101.77 frames/s
7114 frames: done 209 games, mean reward 0.367, epsilon 0.92, speed 99.8 frames/s
7137 frames: done 210 games, mean reward 0.333, epsilon 0.92, speed 97.12 frames/s
7160 frames: done 211 games, mean reward 0.3, epsilon 0.92, speed 99.32 frames/s
7183 frames: done 212 games, mean reward 0.3, epsilon 0.92, speed 101.03 frames/s
7206 frames: done 213 games, mean reward 0.3, epsilon 0.92, speed 97.87 frames/s
7229 frames: done 214 games, mean reward 0.267, epsilon 0.92, speed 101.48 frames/s
7250 frames: done 215 games, mean reward 0.267, epsilon 0.92, speed 95.01 frames/s
7273 frames: done 216 games, mean reward 0.267, epsilon 0.91, speed 100.9 frames/s
7340 frames: done 217 games, mean reward 0.3, epsilon 0.91, speed 101.64 frames/s
7391 frames: done 218 games, mean reward 0.333, epsilon 0.91, speed 101.55 frames/s
7414 frames: done 219 games, mean reward 0.3, epsilon 0.91, speed 104.01 frames/s
